"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"17457",10220273,"H","SW","SW corner of AVE OF THE AMERICAS and WAVERLY PL","B","MN022",984157.42077698,206282.9562503,984195.28553064,206303.96703506,"AVE OF THE AMERICAS","WAVERLY PL",6920,"POINT (-74.0003340473 40.7328756891)"
"17462",10230022,"H","NW","NW corner of 9 AV and W 13 ST","B","MN023",982604.78247806,209039.63413589,982607.31298481,209008.76805589,"9 AV","W 13 ST",364,"POINT (-74.0059369996 40.740441936)"
"17463",20420017,"H","E","E corner of GRAND CONCOURSE and E 167 ST","D","BX042",1007157.90824048,243346.21151997,1007123.96637923,243334.07374896,"GRAND CONCOURSE","E 167 ST",10219,"POINT (-73.9172166086 40.8345747398)"
"17464",10520651,"H","NE","NE corner of AVE OF THE AMERICAS and W 56 ST","B","MN052",990523.05404306,217515.13194864,990472.70735897,217498.56439647,"AVE OF THE AMERICAS","W 56 ST",4339,"POINT (-73.9773548932 40.7637029593)"
"17466",10520401,"H","NW","NW corner of LEXINGTON AV and E 56 ST","B","MN052",992644.9507179,216332.49586247,992648.62164231,216288.90113339,"LEXINGTON AV","E 56 ST",2417,"POINT (-73.9696965328 40.7604551673)"
"17468",10510146,"H","SW","SW corner of PARK AV S and E 26 ST","B","MN051",988327.11125648,209621.54045238,988370.46090731,209640.54828838,"PARK AV S","E 26 ST",1532,"POINT (-73.9852868162 40.7420383372)"
"17469",40210046,"H","S","S side of WOODSIDE AV between 60 ST and 61 ST","D","QW021",1010879.78826389,210634.77300596,1010893.21221351,210673.95012097,"WOODSIDE AV","60 ST/61 ST",15570,"POINT (-73.9038963749 40.7447802524)"
"17472",10110349,"H","NW","NW corner of PARK PL W and NORTH END AV","P","MN011",980076.84986989,200382.56385164,980087.81605531,200347.01077314,"PARK PL W","NORTH END AV",6380,"POINT (-74.0150540321 40.71667956)"
"17477",10830050,"H","SW","SW corner of YORK AV and E 80 ST","B","MN083",998036.9989889,220538.99466729,998079.82436256,220569.69998647,"YORK AV","E 80 ST",5014,"POINT (-73.950224094 40.7719941519)"
"17483",41310009,"H","SW","SW corner of HILLSIDE AV and 256 ST","D","QE131",1064044.26625231,207660.99384855,1064074.22649422,207713.33101422,"HILLSIDE AV","256 ST",12860,"POINT (-73.7120685212 40.7362981116)"
"17485",10110189,"H","NE","NE corner of WALL ST and NASSAU ST","B","MN011",981348.91655147,196918.61146197,981297.28279647,196913.94972588,"WALL ST","NASSAU ST",3333,"POINT (-74.010463744 40.7071723435)"
"17494",10830162,"H","NE","NE corner of YORK AV and E 81 ST","B","MN083",998317.49908406,220809.68080571,998282.20584756,220801.13325064,"YORK AV","E 81 ST",4062,"POINT (-73.9492108238 40.7727366725)"
"17505",10720005,"H","NW","NW corner of W 79 ST and AMSTERDAM AV","B","MN072",990231.83776198,224679.17437905,990240.13531756,224644.53435646,"W 79 ST","AMSTERDAM AV",4718,"POINT (-73.9783997782 40.7833665813)"
"17508",10850007,"H","NW","NW corner of 3 AV and E 90 ST","D","MN085",997489.0926044,224027.90271571,997487.34851339,223993.2594123,"3 AV","E 90 ST",21978,"POINT (-73.9521953539 40.7815711224)"
"17511",30210049,"H","NE","NE corner of JORALEMON ST and CLINTON ST","D","BKN021",986249.95858665,191733.60083464,986182.50596565,191711.28985563,"JORALEMON ST","CLINTON ST",139,"POINT (-73.992788009 40.6929409507)"
"17512",40530002,"H","SW","SW corner of MYRTLE AV and MADISON ST","B","QW053",1009552.56191573,194184.35708797,1009621.14019065,194243.31563146,"MYRTLE AV","MADISON ST",13727,"POINT (-73.9087480122 40.6996317595)"
"17514",40830049,"H","SW","SW corner of MAIN ST and 69 RD","D","QE083",1033035.57203622,205452.2728723,1033052.2084859,205509.61494921,"MAIN ST","69 RD",10599,"POINT (-73.8239766301 40.7304611294)"
"17519",10420344,"H","NE","NE corner of 10 AV and W 27 DR","O","MN042",983702.99288006,212607.8766713,983647.97789823,212604.62963055,"10 AV","W 27 DR",25320,"POINT (-74.0019742426 40.750236004)"
"17522",10410126,"H","NW","NW corner of 9 AVE and W 15 ST","B","MN041",982874.14315981,209546.26730897,982876.51192148,209509.29527006,"9 AVE","W 15 ST",730,"POINT (-74.0049650772 40.741832564)"
"17527",30240120,"H","SE","SE corner of DEKALB AVENUE and ASHLAND PL","B","BKN024",990223.67242397,190553.86861405,990204.45625506,190577.22716314,"DEKALB AVENUE","ASHLAND PL",20343,"POINT (-73.9784595644 40.6897010679)"
"17532",30330039,"H","SE","SE corner of NEW YORK AV and FULTON ST","B","BKN033",999097.77541064,187062.94941481,999044.26173815,187086.69280563,"NEW YORK AV","FULTON ST",22028,"POINT (-73.946468179 40.6801088556)"
"17548",40220008,"H","NW","NW corner of SKILLMAN AV and 47 ST","D","QW022",1007180.07223815,211301.28217164,1007210.49179673,211269.19365314,"SKILLMAN AV","47 ST",19953,"POINT (-73.9172459133 40.7466200192)"
"17550",10520019,"H","SE","SE corner of 5 AV and E 43 ST","B","MN052",989717.27940789,213969.83884238,989697.87951231,214004.56187005,"5 AV","E 43 ST",2007,"POINT (-73.9802665432 40.7539725721)"
"17551",31810005,"H","Direction TBD","Location Description T/K","P","BKS181",1011995.22008814,173689.72714555,1011965.2084359,173664.26858074,"Street Name TBD","",16945,"POINT (-73.9000230952 40.6433713081)"
"17552",11210037,"H","N","N corner of HAVEN AV and W 168 ST","P","MN121",1000102.65266597,246221.97939047,1000096.71862273,246193.75602171,"HAVEN AV","W 168 ST",7061,"POINT (-73.9427057132 40.842483368)"
"17559",41210086,"H","E","E corner of JAMAICA AV and UNION HALL ST","B","QE121",1040343.35072772,195892.74343497,1040296.47254065,195886.41273896,"JAMAICA AV","UNION HALL ST",11913,"POINT (-73.79768916 40.7041792598)"
"17563",10630154,"H","NE","NE corner of 2 AV and E 51 ST","B","MN063",993181.41060297,214541.71040204,993139.48352148,214525.25308588,"2 AV","E 51 ST",3781,"POINT (-73.967762439 40.7555393935)"
"17564",40220041,"H","S","S corner of JACKSON AVE and PURVES STREET","B","QW022",1000453.26449756,211486.69092155,1000462.02104172,211563.17928563,"JACKSON AVE","PURVES STREET",16498,"POINT (-73.9415223474 40.7471438036)"
"17571",10340003,"H","NW","NW corner of COOPER SQ and E 7 ST","D","MN034",986889.16629773,204919.13286246,986915.0012055,204904.72646646,"COOPER SQ","E 7 ST",20267,"POINT (-73.9904778124 40.7291319347)"
"17572",10520627,"H","Direction TBD","Location Description T/K","B","MN052",990063.47097273,214180.86663555,990046.75603795,214150.72427255,"Street Name TBD","",4312,"POINT (-73.9790168259 40.7545515689)"
"17590",21110011,"H","S","S corner of MORRIS PARK AVE and COLDEN AV","D","BX111",1024002.11733414,248205.66636796,1024012.15799648,248255.17611146,"MORRIS PARK AVE","COLDEN AV",6956,"POINT (-73.8563171752 40.8478527528)"
"17595",10630058,"H","NE","NE corner of 3 AV and E 50 ST","B","MN063",992437.26871856,214654.38668588,992393.71729648,214643.68788838,"3 AV","E 50 ST",5333,"POINT (-73.9704482513 40.7558493815)"
"17597",10910101,"H","SE","SE corner of W 125 ST and MORNINGSIDE AV","B","MN091",997027.71229357,234790.70008771,996993.30685057,234837.57761863,"W 125 ST","MORNINGSIDE AV",4092,"POINT (-73.9538408592 40.8111127541)"
"17599",10230093,"H","NW","NW corner of 5 AV and W 8 ST","B","MN023",985245.19353581,206127.42506529,985252.15677647,206087.86838588,"5 AV","W 8 ST",507,"POINT (-73.9964091345 40.7324487386)"
"17604",10330062,"H","NE","NE corner of AV A and E 2 ST","D","MN033",988267.2390009,202705.99555646,988230.5891398,202687.44211589,"AV A","E 2 ST",2113,"POINT (-73.9855070079 40.7230568925)"
"17623",30330112,"H","NW","NW corner of FULTON ST and MARCUS GARVEY BLVD","B","BKN033",1001492.82180165,186982.9672913,1001578.70187923,186954.12417314,"FULTON ST","MARCUS GARVEY BLVD",12719,"POINT (-73.9378333423 40.6798849814)"
"17624",11010424,"H","SW","Median at SW corner of FREDERICK DOUGLASS BOULEVARD and W 122 ST","D","MN101",997335.71561456,233735.27667363,997345.56959748,233739.88066705,"FREDERICK DOUGLASS BOULEVARD","W 122 ST",26886,"POINT (-73.9527302632 40.8082154591)"
